title,artist,album,release_date,duration_ms,spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature,file_name
Otra noche sin dormir (feat. Aurora Beltrán) - En directo 2008,Barricada,Otra noche sin dormir,2008-11-25,209613,https://open.spotify.com/track/1h80bIHIytD0GRW03Cwf2R,0.424,0.9,7,-6.562,1,0.051,0.00506,1.09e-05,0.972,0.419,154.822,audio_features,1h80bIHIytD0GRW03Cwf2R,spotify:track:1h80bIHIytD0GRW03Cwf2R,https://api.spotify.com/v1/tracks/1h80bIHIytD0GRW03Cwf2R,https://api.spotify.com/v1/audio-analysis/1h80bIHIytD0GRW03Cwf2R,4,Viña Rock 2009_data.json
"Maneras de vivir - Rosendo, Barricada y Aurora Beltrán directo 2008",Barricada,Otra noche sin dormir,2008-11-25,282747,https://open.spotify.com/track/3zgQxeKX6kj7Yrt5cRMxP3,0.281,0.94,4,-6.534,1,0.0491,8.65e-05,0.00901,0.944,0.564,126.792,audio_features,3zgQxeKX6kj7Yrt5cRMxP3,spotify:track:3zgQxeKX6kj7Yrt5cRMxP3,https://api.spotify.com/v1/tracks/3zgQxeKX6kj7Yrt5cRMxP3,https://api.spotify.com/v1/audio-analysis/3zgQxeKX6kj7Yrt5cRMxP3,4,Viña Rock 2009_data.json
"Blanco y negro - Rosendo, Barricada y Aurora Beltrán directo 2008",Barricada,Otra noche sin dormir,2008-11-25,358347,https://open.spotify.com/track/7IjUge7VMjnd1e85mW1Nb8,0.281,0.875,7,-6.668,1,0.0475,0.000111,0.00539,0.978,0.194,155.938,audio_features,7IjUge7VMjnd1e85mW1Nb8,spotify:track:7IjUge7VMjnd1e85mW1Nb8,https://api.spotify.com/v1/tracks/7IjUge7VMjnd1e85mW1Nb8,https://api.spotify.com/v1/audio-analysis/7IjUge7VMjnd1e85mW1Nb8,4,Viña Rock 2009_data.json
"Muerte ven - Rosendo, Barricada y Aurora Beltrán directo 2008",Barricada,Otra noche sin dormir,2008-11-25,233027,https://open.spotify.com/track/4bF913oYPpbJKJkzsLj2cB,0.252,0.883,2,-7.095,1,0.109,0.213,0,0.995,0.37,170.926,audio_features,4bF913oYPpbJKJkzsLj2cB,spotify:track:4bF913oYPpbJKJkzsLj2cB,https://api.spotify.com/v1/tracks/4bF913oYPpbJKJkzsLj2cB,https://api.spotify.com/v1/audio-analysis/4bF913oYPpbJKJkzsLj2cB,4,Viña Rock 2009_data.json
Solo quiero tu boca - Rosendo y Barricada directo 2008,Barricada,Otra noche sin dormir,2008-11-25,266960,https://open.spotify.com/track/1rcyxbDAFHAPsjs5r0fJ4w,0.39,0.942,9,-5.938,0,0.0653,7.66e-05,4.85e-05,0.462,0.303,146.526,audio_features,1rcyxbDAFHAPsjs5r0fJ4w,spotify:track:1rcyxbDAFHAPsjs5r0fJ4w,https://api.spotify.com/v1/tracks/1rcyxbDAFHAPsjs5r0fJ4w,https://api.spotify.com/v1/audio-analysis/1rcyxbDAFHAPsjs5r0fJ4w,4,Viña Rock 2009_data.json
El Chico De La Mirada Asustadiza,Tahúres Zúrdos,13,2009-12-02,252293,https://open.spotify.com/track/4Z62CUGHB6colTDQpJpwlz,0.633,0.526,0,-13.53,1,0.0267,0.0053,0.000358,0.0891,0.546,95.388,audio_features,4Z62CUGHB6colTDQpJpwlz,spotify:track:4Z62CUGHB6colTDQpJpwlz,https://api.spotify.com/v1/tracks/4Z62CUGHB6colTDQpJpwlz,https://api.spotify.com/v1/audio-analysis/4Z62CUGHB6colTDQpJpwlz,4,Viña Rock 2009_data.json
Lujuria,Aurora Beltrán,13,2009-12-02,208480,https://open.spotify.com/track/28xh3SwxI9SbXcGUeywwMs,0.629,0.836,9,-12.289,1,0.0315,0.00302,0.000831,0.0682,0.742,112.476,audio_features,28xh3SwxI9SbXcGUeywwMs,spotify:track:28xh3SwxI9SbXcGUeywwMs,https://api.spotify.com/v1/tracks/28xh3SwxI9SbXcGUeywwMs,https://api.spotify.com/v1/audio-analysis/28xh3SwxI9SbXcGUeywwMs,4,Viña Rock 2009_data.json
Mis Hijos Me Espían,Tahúres Zúrdos,13,2009-12-02,182027,https://open.spotify.com/track/4eUkLQn2tSxTwPW9sPBbfB,0.659,0.66,6,-12.206,0,0.058,0.00267,0.00666,0.0622,0.948,118.717,audio_features,4eUkLQn2tSxTwPW9sPBbfB,spotify:track:4eUkLQn2tSxTwPW9sPBbfB,https://api.spotify.com/v1/tracks/4eUkLQn2tSxTwPW9sPBbfB,https://api.spotify.com/v1/audio-analysis/4eUkLQn2tSxTwPW9sPBbfB,4,Viña Rock 2009_data.json
Peligrosa,Aurora Beltrán,13,2009-12-02,165653,https://open.spotify.com/track/41K6jKCmGhDMAe83PkjDNn,0.635,0.719,7,-12.719,1,0.0305,0.114,4.88e-06,0.0938,0.694,103.973,audio_features,41K6jKCmGhDMAe83PkjDNn,spotify:track:41K6jKCmGhDMAe83PkjDNn,https://api.spotify.com/v1/tracks/41K6jKCmGhDMAe83PkjDNn,https://api.spotify.com/v1/audio-analysis/41K6jKCmGhDMAe83PkjDNn,4,Viña Rock 2009_data.json
Como El Humo,Tahúres Zúrdos,13,2009-12-02,183480,https://open.spotify.com/track/7E0dkIxoNeeFjt6rBnU2dF,0.629,0.374,1,-16.287,0,0.036,0.0309,0.000527,0.114,0.231,134.872,audio_features,7E0dkIxoNeeFjt6rBnU2dF,spotify:track:7E0dkIxoNeeFjt6rBnU2dF,https://api.spotify.com/v1/tracks/7E0dkIxoNeeFjt6rBnU2dF,https://api.spotify.com/v1/audio-analysis/7E0dkIxoNeeFjt6rBnU2dF,4,Viña Rock 2009_data.json
De los malos,Elbicho,El Bicho,2003-06-13,285520,https://open.spotify.com/track/4qeoUPvx2TC0xb7sxoEekP,0.764,0.745,4,-4.249,0,0.123,0.137,0,0.0986,0.791,82.981,audio_features,4qeoUPvx2TC0xb7sxoEekP,spotify:track:4qeoUPvx2TC0xb7sxoEekP,https://api.spotify.com/v1/tracks/4qeoUPvx2TC0xb7sxoEekP,https://api.spotify.com/v1/audio-analysis/4qeoUPvx2TC0xb7sxoEekP,4,Viña Rock 2009_data.json
Mamá Dolores,Elbicho,El Bicho,2003-06-13,247653,https://open.spotify.com/track/04u9vcrH4NbhH8JYTVGhQ3,0.8,0.726,4,-7.728,0,0.0531,0.266,6.71e-06,0.218,0.86,152.219,audio_features,04u9vcrH4NbhH8JYTVGhQ3,spotify:track:04u9vcrH4NbhH8JYTVGhQ3,https://api.spotify.com/v1/tracks/04u9vcrH4NbhH8JYTVGhQ3,https://api.spotify.com/v1/audio-analysis/04u9vcrH4NbhH8JYTVGhQ3,4,Viña Rock 2009_data.json
Locura,Elbicho,El Bicho,2003-06-13,228440,https://open.spotify.com/track/5sMdlYUaGEPd9PiWOoUjED,0.73,0.889,2,-4.398,1,0.262,0.144,0,0.0626,0.919,170.043,audio_features,5sMdlYUaGEPd9PiWOoUjED,spotify:track:5sMdlYUaGEPd9PiWOoUjED,https://api.spotify.com/v1/tracks/5sMdlYUaGEPd9PiWOoUjED,https://api.spotify.com/v1/audio-analysis/5sMdlYUaGEPd9PiWOoUjED,4,Viña Rock 2009_data.json
Pa' ti,Elbicho,El Bicho,2003-06-13,238213,https://open.spotify.com/track/3hAoS5Y5zqZgOskBxb2l6a,0.776,0.727,7,-6.18,1,0.0758,0.157,3.51e-05,0.0924,0.687,93.967,audio_features,3hAoS5Y5zqZgOskBxb2l6a,spotify:track:3hAoS5Y5zqZgOskBxb2l6a,https://api.spotify.com/v1/tracks/3hAoS5Y5zqZgOskBxb2l6a,https://api.spotify.com/v1/audio-analysis/3hAoS5Y5zqZgOskBxb2l6a,3,Viña Rock 2009_data.json
Parque Triana,Elbicho,II,2005-05-23,238280,https://open.spotify.com/track/3UimGpPlxvPaQ6iKLXUerS,0.539,0.812,1,-5.491,0,0.0417,0.106,2.82e-05,0.131,0.626,160.021,audio_features,3UimGpPlxvPaQ6iKLXUerS,spotify:track:3UimGpPlxvPaQ6iKLXUerS,https://api.spotify.com/v1/tracks/3UimGpPlxvPaQ6iKLXUerS,https://api.spotify.com/v1/audio-analysis/3UimGpPlxvPaQ6iKLXUerS,4,Viña Rock 2009_data.json
Paraísos Artificiales,Eskorzo,Paraísos Artificiales,2009-03-12,311652,https://open.spotify.com/track/11p3hF8XSFo8UyvcQLitzV,0.477,0.748,9,-6.139,1,0.037,0.0121,0,0.106,0.235,130.939,audio_features,11p3hF8XSFo8UyvcQLitzV,spotify:track:11p3hF8XSFo8UyvcQLitzV,https://api.spotify.com/v1/tracks/11p3hF8XSFo8UyvcQLitzV,https://api.spotify.com/v1/audio-analysis/11p3hF8XSFo8UyvcQLitzV,4,Viña Rock 2009_data.json
El Que Tenga El Amor,Eskorzo,El Árbol De La Duda,2005-01-11,184970,https://open.spotify.com/track/0sqw17ShhvXXfw2OlmJoif,0.595,0.905,7,-4.705,0,0.0863,0.0652,1.46e-05,0.101,0.553,101.674,audio_features,0sqw17ShhvXXfw2OlmJoif,spotify:track:0sqw17ShhvXXfw2OlmJoif,https://api.spotify.com/v1/tracks/0sqw17ShhvXXfw2OlmJoif,https://api.spotify.com/v1/audio-analysis/0sqw17ShhvXXfw2OlmJoif,4,Viña Rock 2009_data.json
